type,value
total_protected_areas,"244,898"
total_terrestrial_protected_areas,"227,974"
total_marine_protected_areas,"16,924"
total_land_pa_coverage_percentage,15.10144768
total_land_area_protected,"20,374,699"
total_ocean_pa_coverage_percentage,7.43172976
total_ocean_area_protected,"26,927,425"
national_waters_pa_coverage_percentage,17.21669173
national_waters_pa_coverage_area,"24,309,272"
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,"2,618,153"
national_waters_percentage,39
global_ocean_percentage,61
