Year,Terrestrial KBAs,Freshwater KBAs,Marine KBAs
2000,30.07,28.71,30.52
2001,31.15,29.80,31.69
2002,32.30,30.60,33.33
2003,33.04,31.29,33.98
2004,35.34,34.15,35.62
2005,36.22,35.03,36.50
2006,37.09,35.64,37.60
2007,38.75,37.02,38.41
2008,39.61,37.57,39.70
2009,40.27,38.09,40.63
2010,40.85,38.41,41.49
2011,41.28,38.78,41.80
2012,41.89,39.56,42.53
2013,42.51,40.00,43.42
2014,42.91,40.22,44.50
2015,43.12,40.33,44.84
2016,43.32,40.39,45.42
2017,43.53,40.57,45.84
2018,43.70,40.80,45.97
2019,43.72,40.80,46.03
