iso3,percentage_pa_land_cover,pa_land_cover_categorical
CCK,0,0
ALA,0,0
ATA,0,0
SXM,0.000373,1
FSM,0.049163,1
AFG,0.104707,1
WLF,0.167037,1
LBY,0.211848,1
TUR,0.218489,1
LSO,0.261389,1
FLK,0.492706,1
MRT,0.621988,1
SYR,0.685303,1
YEM,0.771944,1
MDV,1.209096,1
BRB,1.270108,1
BIH,1.395502,1
IRQ,1.533412,1
DJI,1.574646,1
SLB,1.764128,1
HTI,1.949883,1
TUV,1.951941,1
PYF,1.953195,1
BMU,2.079919,1
SDN,2.281763,1
FRO,2.329093,1
PRK,2.435342,1
OMN,2.572733,1
LBN,2.597309,1
CPV,2.89524,1
SPM,3.01492,1
PNG,3.06593,1
JOR,3.092411,1
TKM,3.248262,1
KAZ,3.312086,1
KNA,3.316635,1
UZB,3.375214,1
URY,3.446202,1
UKR,3.983601,1
GGY,4.007107,1
LBR,4.051311,1
GMB,4.107362,1
MDA,4.150535,1
VUT,4.200532,1
SWZ,4.258265,1
BGD,4.605963,1
MUS,4.725389,1
SAU,4.760127,1
ERI,4.872391,1
FJI,5.411197,2
IMN,5.453444,2
SGP,5.55456,2
MDG,5.589556,2
ESH,5.690521,2
IND,5.966519,2
MMR,6.370503,2
TKL,6.575934,2
BHR,6.621748,2
KGZ,6.702695,2
AGO,6.971426,2
PRI,7.269165,2
AIA,7.336319,2
WSM,7.349585,2
DZA,7.495019,2
SRB,7.555412,2
VNM,7.57678,2
BDI,7.591472,2
MNP,7.66945,2
TUN,7.914677,2
MLI,8.23161,2
ZAF,8.276524,2
GEO,8.333597,2
PSE,8.359252,2
ARG,8.450192,2
IRN,8.614133,2
GUY,8.737487,2
SLV,8.776287,2
VGB,9.108814,2
RWA,9.114089,2
BLR,9.353493,2
SLE,9.386319,2
RUS,9.726915,2
GRD,9.777508,2
CHE,9.991112,2
COM,10.15143,3
AZE,10.15513,3
MNE,10.52007,3
MKD,10.56065,3
CAN,10.6573,3
CYM,10.76277,3
CMR,10.91132,3
MSR,11.10854,3
MYT,11.21053,3
NLD,11.24373,3
KOR,11.67113,3
MHL,11.91571,3
IDN,12.16571,3
PAK,12.31459,3
KEN,12.36336,3
MAF,12.77155,3
USA,12.99385,3
TLS,13.05747,3
EGY,13.13605,3
QAT,13.22924,3
VIR,13.79457,3
COD,13.83326,3
NGA,13.92958,3
PRY,14.31474,3
IRL,14.44126,3
MEX,14.45975,3
SUR,14.52014,3
SWE,14.6656,3
COL,14.80696,3
BFA,14.89044,3
GHA,15.04325,3
FIN,15.07186,3
PHL,15.31666,3
SSD,15.5015,3
CHN,15.61175,3
CUW,15.74578,3
ASM,15.84774,3
TON,15.91279,3
JAM,15.91651,3
UGA,16.06394,3
CUB,16.55323,3
GNB,16.66265,3
LAO,16.68221,3
LTU,17.0231,4
NOR,17.2075,4
NER,17.31709,4
KWT,17.50068,4
ETH,17.621,4
MNG,17.71388,4
ALB,17.7361,4
JEY,17.75356,4
ARE,17.95492,4
CAF,18.06483,4
DNK,18.102,4
ISL,18.15404,4
LVA,18.17131,4
ATG,18.56967,4
LCA,18.74521,4
THA,18.80917,4
ABW,18.91758,4
MYS,19.11932,4
AUS,19.26561,4
GNQ,19.26676,4
TWN,19.71531,4
ISR,19.9466,4
NIU,19.95643,4
GTM,20.04929,4
EST,20.28137,4
TCD,20.35443,4
BLM,20.35889,4
CHL,20.41992,4
PAN,20.89194,4
PER,21.53128,4
ITA,21.53907,4
MOZ,21.57328,4
ECU,21.68612,4
DMA,21.98682,4
CZE,22.15859,4
TJK,22.27866,4
KIR,22.36041,4
VCT,22.41962,4
GAB,22.44276,4
GUM,22.46914,4
HUN,22.59878,4
MWI,22.87605,4
CIV,22.88466,4
PRT,22.91537,4
ARM,23.1105,4
NPL,23.62604,4
HND,23.88555,4
ROU,24.47917,4
BEL,24.88032,4
SEN,25.35277,4
FRA,25.97598,4
COK,25.99368,4
KHM,26.02772,4
DOM,26.23675,4
AND,26.72772,4
ZWE,27.21458,4
CRI,27.60271,4
TGO,27.62124,4
PLW,28.00019,4
ESP,28.08588,4
BES,28.36521,4
AUT,28.39798,4
GBR,28.68787,4
BWA,29.14325,4
STP,29.25591,4
JPN,29.38754,4
BRA,29.41988,4
BEN,29.60411,4
LKA,29.862,4
MLT,30.18592,4
TTO,30.59281,4
MAR,30.7776,4
BOL,30.86547,4
GIB,32.42342,4
NZL,32.80693,4
MCO,33.15512,4
GRC,35.21634,4
GIN,35.64619,4
SHN,36.17826,4
BHS,36.63365,4
NIC,37.22587,4
CYP,37.35988,4
SVK,37.58672,4
BLZ,37.67937,4
DEU,37.86246,4
ZMB,37.87001,4
NAM,37.89093,4
TZA,38.17291,4
HRV,38.25869,4
POL,39.72343,4
BGR,40.58739,4
COG,40.73804,4
GRL,41.1536,4
HKG,41.88368,4
SYC,42.09405,4
LIE,42.18697,4
TCA,44.36742,4
NFK,46.65264,4
BRN,46.87212,4
BTN,48.00785,4
LUX,51.18499,4
GUF,53.02645,4
SVN,53.62075,4
VEN,54.14417,4
NCL,54.40416,4
CXR,61.54395,4
REU,63.10137,4
SJM,65.44475,4
GLP,69.71541,4
PCN,81.23715,4
BVT,86.86182,4
ATF,100,4
SGS,100,4
IOT,100,4
HMD,100,4
MTQ,111.3756,4
UMI,7335.565,4
