ISO3,percentage_pa_marine_cover,pa_marine_cover_categorical
BEN,0.00,0
BIH,0.00,0
ERI,0.00,0
HTI,0.00,0
IRQ,0.00,0
MSR,0.00,0
WLF,0.00,0
BMU,0.00,1
ABW,0.00,1
CXR,0.00,1
CPV,0.00,1
TKL,0.00,1
BVT,0.00,1
MUS,0.00,1
VGB,0.00,1
PYF,0.00,1
AGO,0.00,1
BRB,0.01,1
CCK,0.01,1
VUT,0.01,1
TUV,0.01,1
GUM,0.01,1
FLK,0.01,1
FRO,0.01,1
NIU,0.01,1
GUY,0.01,1
REU,0.01,1
SGP,0.01,1
FSM,0.02,1
NGA,0.02,1
PRK,0.02,1
COM,0.02,1
STP,0.03,1
ISR,0.03,1
DMA,0.03,1
AIA,0.03,1
SYC,0.04,1
CUW,0.04,1
TTO,0.05,1
MDV,0.05,1
SPM,0.06,1
GMB,0.07,1
CIV,0.07,1
LKA,0.07,1
CYM,0.08,1
DZA,0.09,1
GRD,0.09,1
WSM,0.09,1
TCA,0.10,1
GHA,0.10,1
LBR,0.10,1
TUR,0.11,1
SLB,0.12,1
CYP,0.12,1
OMN,0.12,1
MNE,0.14,1
DJI,0.17,1
KNA,0.17,1
IND,0.17,1
ATG,0.18,1
KHM,0.19,1
PNG,0.19,1
TGO,0.20,1
BRN,0.20,1
LBN,0.21,1
LCA,0.22,1
VCT,0.22,1
GNQ,0.24,1
COD,0.24,1
SYR,0.25,1
MAR,0.26,1
MHL,0.27,1
ISL,0.38,1
GGY,0.39,1
AZE,0.44,1
YEM,0.47,1
PER,0.48,1
GIN,0.53,1
SLE,0.54,1
VNM,0.56,1
LBY,0.64,1
GEO,0.67,1
SLV,0.71,1
URY,0.72,1
MDG,0.75,1
JAM,0.75,1
PAK,0.77,1
KEN,0.80,1
IRN,0.80,1
NOR,0.83,1
CRI,0.83,1
VIR,0.85,1
GTM,0.90,1
FJI,0.92,1
GUF,1.00,1
TUN,1.04,1
KAZ,1.05,1
SEN,1.11,1
TWN,1.12,1
PHL,1.16,1
BHR,1.24,1
TLS,1.37,1
ESH,1.47,1
KWT,1.48,1
TON,1.51,1
SUR,1.54,1
MYS,1.54,1
KOR,1.63,1
PAN,1.68,1
QAT,1.68,1
NAM,1.71,1
PRI,1.75,1
THA,1.88,1
MOZ,2.23,1
MMR,2.33,1
IRL,2.33,1
SAU,2.49,1
ALB,2.72,1
CAN,2.88,1
NIC,2.97,1
RUS,2.97,1
TKM,2.99,1
TZA,3.01,2
IDN,3.06,2
COG,3.21,2
CMR,3.41,2
UKR,3.42,2
VEN,3.49,2
ARG,3.81,2
MRT,4.15,2
HND,4.16,2
CUB,4.32,2
GRC,4.52,2
GRL,4.52,2
EGY,4.95,2
BGD,5.36,2
CHN,5.41,2
JEY,6.25,3
MLT,6.28,3
SJM,7.65,3
BHS,7.93,3
BGR,8.11,3
JPN,8.23,3
ESP,8.37,3
HRV,8.54,3
SXM,8.69,3
ASM,8.72,3
ITA,8.79,3
GNB,10.01,4
BLZ,10.08,4
FIN,10.51,4
BES,10.97,4
ARE,11.27,4
KIR,11.86,4
ZAF,12.05,4
GIB,12.82,4
ECU,13.35,4
SWE,15.23,4
SDN,15.96,4
LVA,16.04,4
PRT,16.56,4
HMD,16.93,4
COL,17.04,4
DNK,17.85,4
DOM,17.95,4
EST,18.62,4
MEX,21.55,4
POL,22.57,4
ROU,23.10,4
LTU,25.59,4
BRA,26.62,4
NLD,26.68,4
SHN,27.53,4
GAB,28.82,4
GBR,28.88,4
CHL,29.02,4
NZL,30.34,4
MNP,33.24,4
JOR,35.59,4
BEL,36.66,4
AUS,40.56,4
USA,42.19,4
NFK,43.70,4
FRA,45.03,4
DEU,45.36,4
UMI,65.10,4
SGS,73.72,4
ATF,74.76,4
PLW,82.99,4
NCL,96.34,4
MAF,96.40,4
BLM,98.28,4
MCO,99.83,4
GLP,99.91,4
IOT,99.93,4
PCN,100.01,4
COK,100.46,4
MTQ,100.57,4
MYT,108.62,4
SVN,213.44,4
ABNJ,,0
AFG,,0
ALA,,0
AND,,0
ARM,,0
ATA,,0
AUT,,0
BDI,,0
BFA,,0
BLR,,0
BOL,,0
BTN,,0
BWA,,0
CAF,,0
CHE,,0
CZE,,0
ETH,,0
HKG,,0
HUN,,0
IMN,,0
KGZ,,0
LAO,,0
LIE,,0
LSO,,0
LUX,,0
MDA,,0
MKD,,0
MLI,,0
MNG,,0
MWI,,0
NER,,0
NPL,,0
PRY,,0
PSE,,0
RWA,,0
SRB,,0
SSD,,0
SVK,,0
SWZ,,0
TCD,,0
TJK,,0
UGA,,0
UZB,,0
ZMB,,0
ZWE,,0
