iso3,pame_percentage_pa_land_cover,pame_land_categorical
MAR,0,1
MYS,0,1
PAK,0,1
UMI,0,1
ALB,1,1
DEU,1,1
FJI,1,1
GRL,1,1
IRL,1,1
MLT,1,1
AUT,2,1
NCL,2,1
NFK,2,1
NOR,2,1
LKA,3,1
FRA,4,1
GRC,4,1
HUN,4,1
ISL,4,1
TUN,4,1
SLV,5,1
LVA,6,1
MMR,6,1
VUT,6,1
GHA,7,1
ITA,7,1
LTU,8,1
PLW,8,1
IRN,9,1
SYR,9,1
BGR,10,2
ESP,10,2
KGZ,10,2
MNP,10,2
KWT,11,2
NGA,11,2
BFA,12,2
PYF,12,2
NIC,13,2
PHL,13,2
USA,13,2
BGD,14,2
CHN,14,2
LCA,14,2
UZB,15,2
SWE,16,2
ETH,17,2
GIN,17,2
PRY,17,2
MEX,18,2
SAU,19,2
AUS,20,2
ROU,20,2
AND,21,2
BLR,21,2
IRQ,21,2
KAZ,21,2
HRV,22,2
MOZ,22,2
SEN,23,2
SVN,23,2
ZWE,23,2
CIV,24,2
COG,24,2
TGO,24,2
GRD,26,2
ARG,27,2
URY,28,2
NZL,29,2
VEN,29,2
UKR,30,3
CHL,31,3
BEN,33,3
TZA,33,3
CAF,34,3
CYP,34,3
TON,34,3
CAN,35,3
EST,35,3
DNK,36,3
KIR,36,3
AGO,37,3
RUS,37,3
SDN,37,3
ZMB,37,3
AZE,38,3
BRA,38,3
GBR,39,3
GNB,39,3
POL,39,3
SLE,39,3
DMA,40,3
HTI,40,3
THA,40,3
KEN,41,3
MNE,41,3
NAM,41,3
UGA,41,3
CZE,43,3
BOL,46,3
GUF,46,3
LUX,46,3
TUR,47,3
GAB,48,3
SLB,48,3
COD,49,3
ARM,50,3
KOR,51,3
PRT,51,3
GTM,52,3
MWI,53,3
VCT,53,3
VNM,54,3
FIN,55,3
DOM,56,3
IND,56,3
TCD,57,3
TKM,57,3
IDN,58,3
EGY,59,3
SVK,59,3
GNQ,60,4
LBN,60,4
SSD,60,4
LBR,62,4
ZAF,63,4
CHE,65,4
MUS,65,4
BWA,66,4
HND,66,4
PER,66,4
REU,67,4
ARE,68,4
BDI,69,4
CMR,69,4
CRI,69,4
MDA,69,4
MNG,69,4
JOR,70,4
SRB,70,4
NPL,72,4
VIR,76,4
COL,78,4
JAM,79,4
GUY,80,4
BTN,81,4
KHM,81,4
TJK,82,4
YEM,82,4
DZA,83,4
SYC,83,4
GEO,84,4
BHS,85,4
CPV,85,4
ECU,86,4
MDG,86,4
AFG,89,4
LIE,90,4
NER,90,4
MLI,93,4
PAN,94,4
BLZ,95,4
MKD,95,4
PNG,96,4
RWA,96,4
SGP,96,4
BIH,97,4
SUR,98,4
GMB,99,4
MRT,99,4
HMD,100,4
PCN,100,4
LSO,133,4
ABNJ,  ,0
ABW,  ,0
AIA,  ,0
ALA,  ,0
ASM,  ,0
ATA,  ,0
ATF,  ,0
ATG,  ,0
BEL,  ,0
BES,  ,0
BHR,  ,0
BLM,  ,0
BMU,  ,0
BRB,  ,0
BRN,  ,0
BVT,  ,0
CCK,  ,0
COK,  ,0
COM,  ,0
CUB,  ,0
CUW,  ,0
CXR,  ,0
CYM,  ,0
DJI,  ,0
ERI,  ,0
ESH,  ,0
FLK,  ,0
FRO,  ,0
FSM,  ,0
GGY,  ,0
GIB,  ,0
GLP,  ,0
GUM,  ,0
HKG,  ,0
IMN,  ,0
IOT,  ,0
ISR,  ,0
JEY,  ,0
JPN,  ,0
KNA,  ,0
LAO,  ,0
LBY,  ,0
MAF,  ,0
MCO,  ,0
MDV,  ,0
MHL,  ,0
MSR,  ,0
MTQ,  ,0
MYT,  ,0
NIU,  ,0
NLD,  ,0
OMN,  ,0
PRI,  ,0
PRK,  ,0
PSE,  ,0
QAT,  ,0
SGS,  ,0
SHN,  ,0
SJM,  ,0
SPM,  ,0
STP,  ,0
SWZ,  ,0
SXM,  ,0
TCA,  ,0
TKL,  ,0
TLS,  ,0
TTO,  ,0
TUV,  ,0
TWN,  ,0
VGB,  ,0
WLF,  ,0
WSM,  ,0
