ISO3,ProtConn_B,protconn_categorical
ABW,0,0
ANT,0,0
ASM,0,0
ATA,0,0
BMU,0,0
JTN,0,0
MAC,0,0
MCO,0,0
MID,0,0
NRU,0,0
SMR,0,0
TKL,0,0
WAK,0,0
WLF,0,0
XXX,0,0
TUR,0.067992,0
LBY,0.127077,0
HTI,0.152272,0
AFG,0.197029,0
FLK,0.290574,0
IMN,0.293693,0
SYR,0.382283,0
LSO,0.419798,0
MDV,0.44282,0
MRT,0.535498,0
IRQ,0.560881,0
BRB,0.573388,0
COK,0.575076,0
SOM,0.599026,0
YEM,0.76822,0
IND,0.821442,0
KAZ,0.850623,0
UKR,0.901722,0
JOR,0.999221,0
BIH,1.114505,0
SDN,1.149641,0
PRK,1.228374,0
DJI,1.341932,0
RUS,1.500099,0
MDG,1.583676,0
TKM,1.607437,0
IRN,1.644256,0
PYF,1.698164,0
SAU,1.698733,0
OMN,1.711357,0
LBN,1.771398,0
LBR,1.771608,0
PNG,1.806115,0
QAT,1.819659,0
FRO,1.825374,0
VNM,1.868628,0
SLB,1.913894,0
UZB,1.953138,0
URY,2.15031,0
MDA,2.158247,0
AZE,2.193673,0
ARG,2.330336,0
BLR,2.405609,0
NGA,2.464586,0
AIA,2.554294,0
AGO,2.557431,0
CAN,2.561994,0
CPV,2.63636,0
SWZ,2.638676,0
SRB,2.697385,0
MYT,2.740987,0
BGD,2.801574,0
KNA,2.90484,0
GMB,2.980216,0
MNE,2.993502,0
CMR,3.013168,0
PRY,3.160174,0
ERI,3.207963,0
MEX,3.384411,0
MUS,3.41087,0
KGZ,3.581487,0
BDI,3.713924,0
GEO,3.727097,0
VUT,3.743379,0
PRI,3.768319,0
TUN,3.853267,0
CHE,3.880011,0
FJI,3.980121,0
PAK,4.072769,1
COD,4.127318,1
MMR,4.165272,1
COL,4.192281,1
SLE,4.211053,1
FSM,4.545419,1
MNG,4.601355,1
DZA,4.734838,1
KOR,4.747611,1
WSM,4.91711,1
ESH,4.98097,1
BHR,5.237095,1
KEN,5.348242,1
SLV,5.362556,1
SPM,5.466408,1
CYM,5.477626,1
GUY,5.477703,1
GHA,5.496761,1
SGP,5.499338,1
RWA,5.732035,1
LAO,5.927024,1
MLI,5.948829,1
THA,6.11765,1
ZAF,6.274431,1
CUB,6.343527,1
MWI,6.353416,1
AUS,6.462868,1
MKD,6.56766,1
SSD,6.652898,1
UGA,6.660565,1
NLD,6.736186,1
NOR,6.751787,1
TLS,7.062202,1
MNP,7.150399,1
EGY,7.32435,1
CIV,7.398383,1
USA,7.522608,1
GAB,7.667853,1
MOZ,7.681218,1
ALB,7.861675,1
VGB,8.037175,2
BFA,8.24911,2
IDN,8.488702,2
CHN,8.718813,2
ETH,8.729802,2
IRL,8.839162,2
FIN,8.86887,2
GNB,8.934635,2
GRD,9.02209,2
ITA,9.028147,2
MSR,9.103382,2
SWE,9.347857,2
EST,9.858597,2
TCD,9.992517,2
LTU,10.025317,2
JAM,10.166454,2
COM,10.217532,2
NIU,10.364051,2
CAF,10.492059,2
JEY,10.556891,2
MYS,10.602635,2
LVA,10.629094,2
PAN,10.840083,2
VIR,11.164662,2
CHL,11.33294,2
SUR,11.354414,2
ECU,11.435386,2
BOL,11.774532,2
KHM,12.060918,3
GGY,12.171808,3
MHL,12.231323,3
PHL,12.388444,3
ARE,12.815777,3
GBR,12.933413,3
TUV,13.471669,3
TON,13.958851,3
ISR,14.11901,3
DOM,14.128442,3
KWT,14.322904,3
ISL,14.553715,3
NPL,14.635517,3
CZE,14.766444,3
JPN,14.845576,3
SEN,14.881647,3
NER,14.909167,3
TGO,15.434964,3
HUN,15.480486,3
CCK,15.500403,3
PRT,15.59043,3
ZMB,16.318622,3
CYP,16.487541,3
LUX,16.587169,3
ROU,16.976258,3
BRA,17.077877,4
CRI,17.234231,4
BEL,17.453305,4
LCA,17.531495,4
DNK,17.64425,4
BEN,17.758096,4
TZA,17.89669,4
MAR,17.954844,4
MLT,18.116109,4
GUM,18.23317,4
BWA,18.400954,4
HND,18.418906,4
GNQ,18.509737,4
TWN,18.610521,4
FRA,18.625722,4
GIN,18.671893,4
PER,18.737416,4
TJK,19.51851,4
DMA,19.588959,4
GRC,19.681523,4
VCT,19.766944,4
ESP,19.873121,4
ZWE,19.919876,4
PLW,19.936072,4
ATG,20.605529,4
AND,20.69856,4
ARM,20.799466,4
NIC,21.476903,4
KIR,22.500216,4
GTM,24.1395,4
TCA,24.266144,4
SHN,24.374293,4
AUT,24.822774,4
LKA,25.246673,5
COG,25.647089,5
TTO,26.079848,5
BHS,27.46797,5
NAM,28.084587,5
NZL,28.183823,5
BGR,31.276099,5
STP,31.416762,5
SVK,32.222084,5
HRV,34.952899,5
DEU,35.058213,5
BLZ,35.20034,5
GIB,35.273559,5
HKG,35.476463,5
SYC,36.863518,5
VEN,37.019613,5
BRN,37.59001,5
POL,37.843809,5
NCL,40.310175,5
GRL,40.517995,5
LIE,43.399253,5
SJM,47.629731,5
NFK,48.712348,5
GUF,48.875322,5
BTN,50.656282,5
SVN,52.408087,5
BVT,55.289291,5
PCN,58.984701,5
MTQ,60.132074,5
CXR,61.345304,5
GLP,66.969655,5
REU,77.268512,5
IOT,79.721462,5
UMI,88.33991,5
ATF,98.500456,5
SGS,99.842002,5
HMD,100,5
