ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
ABNJ,2608285.399,0,235080140,0,0,1.10953,0,0,0,0,na,na,na,na
ABW,0.026514,35.833833,25213.94735,189.420844,18.91758,0.000105,0,0,0,0,na,na,na,na
AFG,0,673.16062,0,642899.1342,0.104707,0,0,597.988499,0,88.83295921,na,na,0,No information found in 5th National Report
AGO,24.341169,87506.59246,493753.373,1255217.852,6.971426,0.00493,19.751236,32400.49499,81.14333375,37.02634748,12.5,na,5,https://www.cbd.int/doc/world/ao/ao-nr-05-en.pdf
AIA,32.219534,6.274344,92653.59144,85.524417,7.336319,0.034774,0,0,0,0,na,na,na,na
ALA,428.806675,25.755232,0,0,0,0,0,0,0,0,na,na,na,na
ALB,317.982216,5343.929139,11199.39919,28746.5563,18.58981,2.839279,42.889141,45.148125,13.48790556,0.844848871,15.83,na,5,https://www.cbd.int/doc/world/al/al-nr-05-en.pdf
AND,0,126.120308,0,471.870724,26.72772,0,0,26.105939,0,20.69923505,35.7,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241228/1
ARE,6166.123302,12733.89139,54711.04352,70921.45739,17.95492,11.27034,2157.773724,8709.828567,34.99400869,68.39879735,na,na,0,na
ARG,127461.6023,235910.9544,1083150.624,2785327.721,8.469773,11.76767,2419.277559,64069.04353,1.898044207,27.15814689,na,na,0,na
ARM,0,7215.157913,0,29685.40559,24.3054,0,0,3445.371044,0,47.75184529,13.1,na,5,https://www.cbd.int/doc/world/am/am-nr-05-en.pdf
ASM,35457.57732,33.371984,406816.029,210.578755,15.84774,8.715876,0,0,0,0,na,na,0,na
ATA,4774.711754,0,0,0,0,0,0,0,0,0,na,na,0,na
ATF,1703814.985,7851.105613,2277432,7855.43,99.94495,74.81299,0,0,0,0,na,na,0,na
ATG,324.949537,95.612934,108492.3833,455.237976,21.00285,0.299514,0,0,0,0,na,na,5,https://www.cbd.int/doc/world/ag/ag-nr-05-en.pdf
AUS,3035629.909,1497070.275,7432133.367,7722102.022,19.38682,40.84467,378735.7251,303593.6712,12.47634713,20.27918637,16.25,36.2,5,https://www.cbd.int/doc/world/au/au-nr-05-en.pdf
AUT,0,23845.90518,0,83912.25912,28.41767,0,0,471.966738,0,1.979235992,27,na,5,https://www.cbd.int/doc/world/at/at-nr-05-en.pdf
AZE,345.314137,8798.362587,79032.11878,86639.62334,10.15513,0.436929,0.154514,2880.890839,0.044745924,32.74348847,10.3,na,5,https://www.cbd.int/doc/world/az/az-nr-05-en.pdf
BDI,0,2065.705683,0,27210.87243,7.591472,0,0,1422.09236,0,68.84293206,na,na,5,https://www.cbd.int/doc/world/bi/bi-nr-05-fr.pdf
BEL,1270.092261,7644.431064,3465.140147,30683.07213,24.91416,36.65342,6.573838,3866.765791,0.517587438,50.58278057,12.77,35.85,6,https://chm.cbd.int/database/record/190C2BA4-9F5C-AD89-32B5-778480AB2C5B
BEN,0,34369.00255,30425.6792,116095.3632,29.60411,0,0,11330.99346,0,32.96864215,20.16,na,5,https://www.cbd.int/doc/world/bj/bj-nr-05-fr.pdf
BES,2755.525866,91.604646,25112.35272,322.852496,28.37353,10.97279,0,0,0,0,na,na,0,na
BFA,0,41157.73345,0,276403.7182,14.89044,0,0,4959.123073,0,12.04906747,na,na,0,na
BGD,4530.002605,6455.725175,84563.21214,140160.1678,4.605963,5.356943,738.144196,931.396849,16.29456449,14.42745507,1.8,2.05,5,https://www.cbd.int/doc/world/bd/bd-nr-05-en.pdf
BGR,2851.852732,45502.59025,35171.8505,110862.7479,41.04408,8.108338,8.252788,4708.791844,0.289383386,10.34840394,34,na,5,https://www.cbd.int/doc/world/bg/bg-nr-05-en.pdf
BHR,94.820117,45.481965,7632.763476,686.857403,6.621748,1.242278,0,0,0,0,na,na,5,https://www.cbd.int/doc/world/bh/bh-nbsap-v2-en.pdf
BHS,47355.48699,4930.158571,597705.1345,13458.00624,36.63365,7.922884,3460.290417,4215.672449,7.307052756,85.50784703,na,na,0,na
BIH,0,714.847791,12.763205,51225.15128,1.395502,0,0,692.468616,0,96.86937901,2,na,5,https://www.cbd.int/doc/world/ba/ba-nr-05-en.pdf
BLM,4243.890942,5.112056,4317.87991,25.109707,20.35888,98.28645,0,0,0,0,na,na,0,na
BLR,0,19383.06377,0,207228.0654,9.353494,0,0,4035.285494,0,20.81861537,8.72,0,6,https://chm.cbd.int/pdf/documents/nationalReport6/241352/1
BLZ,3653.592533,8401.612777,36249.83866,22297.76618,37.67917,10.07892,2442.620226,7982.925278,66.85529938,95.01658181,36.6,19.8,6,https://chm.cbd.int/database/record/7E3D234F-E8AD-520C-C92B-490CE2806718
BMU,0.254821,1.507493,451643.6848,72.478422,2.079919,0.000056,0,0,0,0,na,na,0,na
BOL,0,336406.5863,0,1089908.94,30.86557,0,0,155396.1212,0,46.19294851,23,na,5,https://www.cbd.int/doc/world/bo/bo-nr-05-es.pdf
BRA,985041.6655,2582477.682,3672584.326,8529399.243,30.27737,26.82149,19837.36478,955287.1494,2.013860477,36.99110959,16,1.5,5,https://www.cbd.int/doc/world/br/br-nr-05-en.pdf
BRB,10.321248,5.640151,185019.8485,444.068519,1.270108,0.005578,0,0,0,0,na,na,0,na
BRN,51.679209,2794.368892,25698.41824,5961.686662,46.87212,0.201099,0,0,0,0,41,na,5,https://www.cbd.int/doc/world/bn/bn-nr-05-en.pdf
BTN,0,19171.20945,0,39933.48814,48.00785,0,0,15508.71277,0,80.89584964,51.44,na,6,https://chm.cbd.int/database/record/780672FC-714D-DCB8-463B-8C13757C89D1
BVT,13.870359,43.986608,440224.3515,50.639751,86.86182,0.003151,0,0,0,0,na,na,0,na
BWA,0,169369.804,0,581162.9215,29.14326,0,0,111968.2861,0,66.10876523,29.1,na,6,https://chm.cbd.int/database/record/79991C85-C09A-E604-22B4-60A04E4C873D
CAF,0,112827.1169,0,624568.0306,18.06483,0,0,38632.06062,0,34.24004945,41,na,5,https://www.cbd.int/doc/world/cf/cf-nr-05-fr.pdf
CAN,178076.632,1099376.152,5698082.708,9955032.941,11.04342,3.125203,7810.065123,318230.0765,4.385788879,28.94642347,10.5,7.7,6,https://chm.cbd.int/database/record/C54338B1-F853-7542-B2AD-34985A78BE08
CCK,26.294474,0,470116.606,17.948331,0,0.005593,0,0,0,0,na,na,0,na
CHE,0,4132.807674,0,41355.27022,9.993424,0,0,2610.795789,0,63.17244825,12.5,0,6,https://chm.cbd.int/database/record/79437B02-8838-F9E7-B0BB-571AB9CB6F30
CHL,1506502.331,155154.8192,3657313.03,759820.962,20.41992,41.19151,1282.760609,43637.92495,0.085148266,28.12540737,20,4.3,5,https://www.cbd.int/doc/world/cl/cl-nr-05-es.pdf
CHN,48125.64643,1461913.138,878364.0892,9361608.881,15.61605,5.479009,832.712621,200412.8047,1.730288698,13.70894067,14.86,na,6,https://chm.cbd.int/database/record/C7B6BC32-C06D-B09C-BFF8-7D265F24DBE6
CIV,126.892829,74418.77849,174842.1752,324107.7064,22.96113,0.072576,0,18194.93691,0,24.44938936,na,na,6,https://chm.cbd.int/database/record/6C5CE2DC-C057-ADCB-6424-0F485C7DEFEA
CMR,1601.57256,51397.03961,14704.2551,469428.0915,10.94886,10.8919,1100.218999,35822.066,68.69616941,69.6967496,22,na,6,https://chm.cbd.int/database/record/9AC174A3-DA9D-FD8C-764C-E2691FA90EE8
COD,31.363659,324289.6789,13265.40707,2344275.114,13.83326,0.236432,31.363659,155840.4141,100,48.05592784,11,na,5,https://www.cbd.int/doc/world/cd/cd-nr-05-fr.pdf
COG,1280.314089,145566.9319,39863.59306,343736.7395,42.34838,3.211738,1197.464959,33631.09748,93.52899959,23.10352842,13.2,0,0,na
COK,1981949.229,67.100582,1972842.358,258.141911,25.99368,100.4616,0,0,0,0,1,na,5,https://www.cbd.int/doc/world/ck/ck-nr-05-en.pdf
COL,125341.5091,192183.8266,730741.8263,1145032.899,16.78413,17.15264,32065.61446,147843.4746,25.58259805,76.92815635,11.27,1.5,"National Biodiversity Strategy and Action Plan (v.3)
",https://www.cbd.int/doc/world/co/co-nbsap-v3-es.pdf
COM,619.779083,574.17537,165505.135,1701.123719,33.75271,0.374477,0,0,0,0,22,na,5,https://www.cbd.int/doc/world/km/km-nr-05-fr.pdf
CPV,5.423162,120.123431,801065.1343,4148.996795,2.89524,0.000677,0,102.417916,0,85.26056503,na,na,0,na
CRI,15061.68353,14608.87532,576110.183,51636.14199,28.29196,2.614376,4443.430402,10510.76419,29.50155202,71.94779858,26,2.7,6,https://chm.cbd.int/database/record/158F6797-D2D0-91DF-E1D1-55EF84D295E0
CUB,14088.80485,18118.33616,365755.7493,111643.2783,16.22878,3.851971,0,0,0,0,na,na,0,na
CUW,11.656382,71.009581,30535.00449,450.975385,15.74578,0.038174,0,0,0,0,na,na,na,na
CXR,0.753374,87.645896,330035.5,142.416955,61.54176,0.000228,0,0,0,0,na,na,na,na
CYM,92.901287,31.133127,119605.4547,289.266866,10.76277,0.077673,0,0,0,0,na,na,na,na
CYP,8472.222568,3498.329141,98279.50173,9063.433945,38.59827,8.620539,0.045238,1157.122558,0.000533957,33.07643482,na,na,5,https://www.cbd.int/doc/world/cy/cy-nr-05-en.pdf
CZE,0,17266.26048,0,77916.89786,22.15984,0,0,7498.753013,0,43.43009317,na,na,6,https://chm.cbd.int/database/record/C94184E8-C30E-C894-DD41-0F1C62E7AD6A
DEU,25575.45801,133666.517,56357.93768,357584.3854,37.38041,45.3804,8265.143141,2011.829926,32.31669649,1.505111356,na,0,5,https://www.cbd.int/doc/world/de/de-nr-05-en.pdf
