id,ecoregion,biome,realm,source,ecoregion_area,perc_protected_2021,perc_protected_2021_OECM
10101,Admiralty Islands lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,wwfterr," 	2,113 ",1.71,1.71
81201,Aegean and Western Turkey sclerophyllous and mixed forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,wwfterr," 	133,754 ",19.49,19.49
81301,Afghan Mountains semi-desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	13,713 ",5.85,5.85
30801,Al Hajar montane woodlands,"Temperate Grasslands, Savannas & Shrublands",Afrotropics,wwfterr," 	25,604 ",1.25,1.25
80801,Alai-Western Tian Shan steppe,"Temperate Grasslands, Savannas & Shrublands",Palearctic,wwfterr," 	127,805 ",9.10,9.10
81302,Alashan Plateau semi-desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	674,924 ",20.96,20.96
50601,Alaska Peninsula montane taiga,Boreal Forests/Taiga,Nearctic,wwfterr," 	47,912 ",76.77,76.77
51101,Alaska-St. Elias Range tundra,Tundra,Nearctic,wwfterr," 	152,146 ",41.35,41.35
31201,Albany thickets,"Mediterranean Forests, Woodlands & Scrub",Afrotropics,wwfterr," 	17,129 ",12.75,12.75
50501,Alberta Mountain forests,Temperate Conifer Forests,Nearctic,wwfterr," 	39,861 ",67.22,67.22
50502,Alberta-British Columbia foothills forests,Temperate Conifer Forests,Nearctic,wwfterr," 	120,739 ",1.38,1.38
30101,Albertine Rift montane forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	104,095 ",11.94,11.94
31301,Aldabra Island xeric scrub,Deserts & Xeric Shrublands,Afrotropics,wwfterr, 	160 ,100.00,100.00
51102,Aleutian Islands tundra,Tundra,Nearctic,wwfterr," 	12,119 ",70.05,70.05
50401,Allegheny Highlands forests,Temperate Broadleaf & Mixed Forests,Nearctic,wwfterr," 	84,071 ",4.62,4.62
80501,Alps conifer and mixed forests,Temperate Conifer Forests,Palearctic,wwfterr," 	149,823 ",32.58,32.58
81001,Altai alpine meadow and tundra,Montane Grasslands & Shrublands,Palearctic,wwfterr," 	90,361 ",30.64,30.64
80502,Altai montane forest and forest steppe,Temperate Conifer Forests,Palearctic,wwfterr," 	142,769 ",14.09,14.09
80802,Altai steppe and semi-desert,"Temperate Grasslands, Savannas & Shrublands",Palearctic,wwfterr," 	83,126 ",7.93,7.93
60150,Alto Paran├í Atlantic forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	485,093 ",5.95,5.95
61401,Amazon-Orinoco-Southern Caribbean mangroves,Mangroves,Neotropics,wwfterr," 	41,162 ",72.99,72.99
30802,Amsterdam and Saint-Paul Islands temperate grasslands,"Temperate Grasslands, Savannas & Shrublands",Afrotropics,wwfterr, 	69 ,100.00,100.00
80901,Amur meadow steppe,Flooded Grasslands & Savannas,Palearctic,wwfterr," 	123,509 ",15.53,15.53
81202,Anatolian conifer and deciduous mixed forests,"Mediterranean Forests, Woodlands & Scrub",Palearctic,wwfterr," 	86,514 ",0.77,0.77
40101,Andaman Islands rain forests,Tropical & Subtropical Moist Broadleaf Forests,IndoMalay,wwfterr," 	5,731 ",5.91,5.91
30701,Angolan Miombo woodlands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,wwfterr," 	661,520 ",5.38,5.38
31001,Angolan montane forest-grassland mosaic,Montane Grasslands & Shrublands,Afrotropics,wwfterr," 	25,573 ",0.00,0.00
30702,Angolan Mopane woodlands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropics,wwfterr," 	133,754 ",21.11,21.11
31002,Angolan scarp savanna and woodlands,Montane Grasslands & Shrublands,Afrotropics,wwfterr," 	74,528 ",11.60,11.60
11101,Antipodes Subantarctic Islands tundra,Tundra,Australasia,wwfterr, 	876 ,100.00,100.00
50402,Appalachian mixed mesophytic forests,Temperate Broadleaf & Mixed Forests,Nearctic,wwfterr," 	192,584 ",3.96,3.96
50403,Appalachian-Blue Ridge forests,Temperate Broadleaf & Mixed Forests,Nearctic,wwfterr," 	159,624 ",8.39,8.39
80401,Appenine deciduous montane forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	16,155 ",45.89,45.89
