SitRecID, site_area ,terr,fresh,marine, pa_area ,oecm_area,paoecm_area,pa_perc,paoecm_perc,pa_category,paoecm_category
11,3.189,Y,N,Y,3.1833,0,3.1833,99.81,99.82126058,complete,complete
12,2.037,Y,N,Y,1.7779,0,1.7779,87.28,87.28031419,partial,partial
17,6.337,Y,N,N,2.3756,0,2.3756,37.49,37.48777024,partial,partial
18,171.06,Y,N,Y,148.1846,0,148.1846,86.63,86.62726529,partial,partial
19,474.632,Y,N,N,148.1802,0,148.1802,31.22,31.22001888,partial,partial
21,263.954,Y,N,N,0,0,0,0,0,none,none
24,22.879,Y,N,N,22.6991,0,22.6991,99.21,99.21368941,complete,complete
25,207.868,Y,N,N,194.5623,0,194.5623,93.6,93.59896665,partial,partial
26,642.345,Y,N,N,642.3447,0,642.3447,100,99.9999533,complete,complete
27,170.62,Y,N,N,170.6203,0,170.6203,100,100.0001758,complete,complete
29,12.099,Y,N,N,9.2759,0,9.2759,76.67,76.66666667,partial,partial
30,21.482,Y,N,Y,15.6209,0,15.6209,72.72,72.71622754,partial,partial
33,7.447,Y,N,Y,7.4473,0,7.4473,100,100.0040285,complete,complete
34,95.655,Y,N,N,82.7084,0,82.7084,86.47,86.46531807,partial,partial
35,975.021,Y,Y,N,973.7419,0,973.7419,99.87,99.86881308,complete,complete
36,473.745,Y,Y,N,470.2543,0,470.2543,99.26,99.263169,complete,complete
37,3.521,Y,Y,N,3.2288,0,3.2288,91.71,91.70122124,partial,partial
38,1.111,Y,Y,N,0.9786,0,0.9786,88.11,88.08280828,partial,partial
39,19.647,Y,Y,N,18.8305,0,18.8305,95.85,95.84414923,partial,partial
40,85.427,Y,N,N,84.3022,0,84.3022,98.68,98.68332026,complete,complete
41,95.793,Y,N,N,95.4348,0,95.4348,99.63,99.62606871,complete,complete
42,6.854,Y,Y,N,6.7761,0,6.7761,98.87,98.86343741,complete,complete
43,10.479,Y,Y,N,10.4723,0,10.4723,99.94,99.9360626,complete,complete
44,0.166,Y,N,Y,0.166,0,0.166,99.98,100,complete,complete
45,1.865,Y,N,N,1.8609,0,1.8609,99.77,99.78016086,complete,complete
46,0.066,Y,N,Y,0.0659,0,0.0659,100,99.84848485,complete,complete
47,0.407,Y,N,Y,0.4065,0,0.4065,100,99.87714988,complete,complete
48,"1,000.57",Y,N,Y,"1,000.57",0,1000.57,100,100,complete,complete
49,"1,029.79",Y,N,Y,"1,029.79",0,1029.79,100,100,complete,complete
50,"1,867.36",Y,N,Y,"1,867.36",0,1867.36,100,100,complete,complete
51,674.046,Y,N,Y,674.0457,0,674.0457,100,99.99995549,complete,complete
52,632.858,Y,N,Y,579.3108,0,579.3108,91.54,91.53882862,partial,partial
53,304.165,Y,N,Y,284.1139,0,284.1139,93.41,93.40782141,partial,partial
54,186.35,Y,N,Y,115.2303,0,115.2303,61.84,61.83541723,partial,partial
55,"2,513.10",Y,N,Y,"1,867.35",0,1867.35,74.3,74.30464367,partial,partial
56,"1,349.08",Y,N,Y,0,0,0,0,0,none,none
57,"1,148.40",Y,N,Y,0,0,0,0,0,none,none
58,51.567,Y,N,Y,41.9395,0,41.9395,81.33,81.33011422,partial,partial
59,416.661,Y,N,Y,390.4769,0,390.4769,93.72,93.71573053,partial,partial
60,2.577,Y,N,Y,0,0,0,0,0,none,none
61,24.689,Y,N,Y,0,0,0,0,0,none,none
62,23.465,Y,N,Y,0,0,0,0,0,none,none
63,95.145,Y,N,Y,0,0,0,0,0,none,none
64,"1,416.99",Y,N,Y,"1,411.28",0,1411.28,99.6,99.59703315,complete,complete
65,2.503,Y,N,Y,0,0,0,0,0,none,none
66,908.666,Y,N,Y,802.6151,0,802.6151,88.33,88.32894595,partial,partial
67,104.459,Y,N,Y,74.1304,0,74.1304,70.97,70.96602495,partial,partial
68,2.768,Y,N,Y,0,0,0,0,0,none,none
69,384.79,Y,N,Y,254.2846,0,254.2846,66.08,66.08399387,partial,partial
70,3.904,Y,N,Y,0,0,0,0,0,none,none
71,490.425,Y,N,Y,54.3487,0,54.3487,11.08,11.08195952,partial,partial
72,41.287,Y,N,Y,0,0,0,0,0,none,none
73,14.927,Y,N,Y,0,0,0,0,0,none,none
74,42.771,Y,N,Y,0,0,0,0,0,none,none
75,0.2,Y,N,Y,0,0,0,0,0,none,none
76,18.007,Y,N,Y,0,0,0,0,0,none,none
77,126.929,Y,N,Y,0,0,0,0,0,none,none
78,435.537,Y,N,Y,0,0,0,0,0,none,none
79,114.132,Y,N,Y,0,0,0,0,0,none,none
80,303.6,Y,N,Y,0,0,0,0,0,none,none
81,68.396,Y,N,Y,0,0,0,0,0,none,none
82,75.09,Y,N,Y,0,0,0,0,0,none,none
83,0.454,Y,N,Y,0.4544,0,0.4544,100,100.0881057,complete,complete
84,0.851,Y,N,Y,0,0,0,0,0,none,none
85,0.762,Y,N,Y,0,0,0,0,0,none,none
86,0.478,Y,N,Y,0,0,0,0,0,none,none
87,0.179,Y,N,Y,0,0,0,0,0,none,none
88,0.069,Y,N,Y,0,0,0,0,0,none,none
89,0.177,Y,N,Y,0,0,0,0,0,none,none
90,0.324,Y,N,Y,0,0,0,0,0,none,none
91,0.184,Y,N,Y,0,0,0,0,0,none,none
92,0.364,Y,N,Y,0,0,0,0,0,none,none
93,0.201,Y,N,Y,0.2009,0,0.2009,100,99.95024876,complete,complete
94,0.106,Y,N,Y,0,0,0,0,0,none,none
95,0.221,Y,N,Y,0,0,0,0,0,none,none
96,0.781,Y,N,Y,0,0,0,0,0,none,none
97,9.218,Y,N,N,0,0,0,0,0,none,none
98,0.222,Y,N,Y,0.2219,0,0.2219,100,99.95495495,complete,complete
99,0.103,Y,N,Y,0,0,0,0,0,none,none
100,0.055,Y,N,Y,0,0,0,0,0,none,none
101,1.138,Y,N,Y,0,0,0,0,0,none,none
102,81.654,Y,Y,N,81.5523,0,81.5523,99.88,99.87545007,complete,complete
103,6.542,Y,N,N,0,0,0,0,0,none,none
104,229.494,Y,Y,N,196.0754,0,196.0754,85.44,85.43813782,partial,partial
105,259.319,Y,Y,N,4.2607,0,4.2607,1.64,1.643034255,none,none
106,259.226,Y,Y,N,21.1602,0,21.1602,8.16,8.162838604,partial,partial
107,369.992,Y,Y,N,67.9587,0,67.9587,18.37,18.36761335,partial,partial
108,209.881,Y,Y,N,56.2962,0,56.2962,26.82,26.82291394,partial,partial
109,95.942,Y,Y,N,67.4362,0,67.4362,70.29,70.28850764,partial,partial
110,488.635,Y,N,N,343.137,0,343.137,70.22,70.22358202,partial,partial
111,64.887,Y,Y,N,35.4361,0,35.4361,54.61,54.61201782,partial,partial
112,120.735,N,N,N,52.5119,0,52.5119,43.49,43.49351886,partial,partial
